unit_id,stat_id,base_value,growth_value,growth_formula,source_base_value,source_growth_value,conversion_scale,source_key,notes
garen,max_health,690,98,primary,690,98,1,hp_base|hp_lvl,LoL基础与成长
garen,health_regen_per_5,8,0.5,primary,8,0.5,1,hp5_base|hp5_lvl,LoL每5秒回复
garen,max_resource,0,0,primary,0,0,1,mp_base|mp_lvl,无资源
garen,resource_regen_per_5,0,0,primary,0,0,1,mp5_base|mp5_lvl,无资源
garen,attack_damage,69,4.5,primary,69,4.5,1,dam_base|dam_lvl,LoL基础与成长
garen,ability_power,0,0,none,0,0,1,,默认零属性
garen,armor,38,4.2,primary,38,4.2,1,arm_base|arm_lvl,LoL基础与成长
garen,magic_resistance,32,1.55,primary,32,1.55,1,mr_base|mr_lvl,LoL基础与成长
garen,move_speed,3.4,0,none,340,0,0.01,ms,转换为Godot米每秒
garen,acceleration,14,0,none,14,0,1,,横版动作自定义
garen,attack_range,1.75,0,none,175,0,0.01,range,转换为Godot米
garen,attack_speed,0.625,0.0365,attack_speed,0.625,0.0365,1,as_base|as_lvl,页面3.65%按统一比例约定存为0.0365
garen,attack_speed_ratio,0.625,0,none,0.625,0,1,as_ratio,LoL攻速倍率
garen,critical_chance,0,0,none,0,0,1,,LoL英雄默认零暴击率
garen,critical_damage,2.0,0,none,200,0,0.01,crit_base,模板当前为200百分比
garen,ability_haste,0,0,none,0,0,1,,默认零属性
garen,tenacity,0,0,none,0,0,1,,默认零属性
garen,slow_resistance,0,0,none,0,0,1,,默认零属性
garen,heal_shield_power,0,0,none,0,0,1,,默认零属性
garen,armor_penetration_flat,0,0,none,0,0,1,,默认零属性
garen,armor_penetration_percent,0,0,none,0,0,1,,默认零属性
garen,magic_penetration_flat,0,0,none,0,0,1,,默认零属性
garen,magic_penetration_percent,0,0,none,0,0,1,,默认零属性
garen,life_steal,0,0,none,0,0,1,,默认零属性
garen,physical_vamp,0,0,none,0,0,1,,默认零属性
garen,omnivamp,0,0,none,0,0,1,,默认零属性
garen,attack_windup,0.18,0,none,0.18000000268221,0,1,windup,LoL基础攻击前摇比例
garen,attack_windup_modifier,0.5,0,none,0.5,0,1,windup_modifier,LoL攻速对前摇修正
garen,attack_delay_offset,-0.12,0,none,-0.11999999731779,0,1,attack_delay_offset,LoL近似值
garen,acquisition_radius,6.0,0,none,600,0,0.01,acquisition_radius,转换为Godot米
garen,selection_radius,1.2,0,none,120,0,0.01,selection_radius,转换为Godot米
garen,selection_height,1.888889,0,none,188.88890075684,0,0.01,selection_height,转换为Godot米
garen,gameplay_radius,0.65,0,none,65,0,0.01,gameplay_radius,转换为Godot米
garen,pathing_radius,0.35,0,none,35,0,0.01,pathing_radius,转换为Godot米
garen,depth_radius,0.65,0,none,0.65,0,1,,横版纵深自定义
garen,poise,100,5,primary,100,5,1,,横版霸体自定义
garen,poise_regen,20,0,none,20,0,1,,横版霸体恢复自定义
garen,knockback_resistance,0,0,none,0,0,1,,横版击退抗性
training_dummy,max_health,1000,0,none,1000,0,1,,训练假人默认属性
scuttle_crab,max_health,1007.5,142.235294,linear,1007.5,142.235294,1,health,首次刷新1到18级线性插值
scuttle_crab,health_regen_per_5,0,0,none,0,0,1,,中立生物
scuttle_crab,max_resource,0,0,none,0,0,1,,无资源
scuttle_crab,resource_regen_per_5,0,0,none,0,0,1,,无资源
scuttle_crab,attack_damage,35,0,none,35,0,1,attack_damage,保留资料属性但AI不攻击
scuttle_crab,ability_power,0,0,none,0,0,1,,无技能强度
scuttle_crab,armor,42,0,none,42,0,1,armor,资料属性
scuttle_crab,magic_resistance,42,0,none,42,0,1,magic_resist,资料属性
scuttle_crab,move_speed,2.55,0,none,255,0,0.01,move_speed,战斗移动速度；脱战由AI降至1.55
scuttle_crab,acceleration,16,0,none,16,0,1,,动作场景移动加速度
scuttle_crab,attack_range,0,0,none,0,0,0.01,attack_range,不会攻击
scuttle_crab,attack_speed,0.638,0,none,0.638,0,1,attack_speed,保留资料属性但AI不攻击
scuttle_crab,attack_speed_ratio,0.638,0,none,0.638,0,1,,资料属性
scuttle_crab,critical_chance,0,0,none,0,0,1,,默认零暴击
scuttle_crab,critical_damage,2,0,none,200,0,0.01,,通用默认
scuttle_crab,ability_haste,0,0,none,0,0,1,,默认零
scuttle_crab,tenacity,0,0,none,0,0,1,,默认零
scuttle_crab,slow_resistance,0,0,none,0,0,1,,默认零
scuttle_crab,heal_shield_power,0,0,none,0,0,1,,默认零
scuttle_crab,armor_penetration_flat,0,0,none,0,0,1,,默认零
scuttle_crab,armor_penetration_percent,0,0,none,0,0,1,,默认零
scuttle_crab,magic_penetration_flat,0,0,none,0,0,1,,默认零
scuttle_crab,magic_penetration_percent,0,0,none,0,0,1,,默认零
scuttle_crab,life_steal,0,0,none,0,0,1,,默认零
scuttle_crab,physical_vamp,0,0,none,0,0,1,,默认零
scuttle_crab,omnivamp,0,0,none,0,0,1,,默认零
scuttle_crab,attack_windup,0,0,none,0,0,1,,不会攻击
scuttle_crab,attack_windup_modifier,0,0,none,0,0,1,,不会攻击
scuttle_crab,attack_delay_offset,0,0,none,0,0,1,,不会攻击
scuttle_crab,acquisition_radius,0,0,none,0,0,0.01,,不会索敌
scuttle_crab,selection_radius,0.5,0,none,50,0,0.01,gameplay_radius,资料属性
scuttle_crab,selection_height,1.15,0,none,115,0,0.01,,原型选取高度
scuttle_crab,gameplay_radius,0.5,0,none,50,0,0.01,gameplay_radius,资料属性
scuttle_crab,pathing_radius,1.0,0,none,100,0,0.01,pathing_radius,资料属性
scuttle_crab,depth_radius,0.5,0,none,0.5,0,1,,横版纵深
scuttle_crab,poise,50,0,none,50,0,1,,大型中立生物
scuttle_crab,poise_regen,10,0,none,10,0,1,,动作系统默认
scuttle_crab,knockback_resistance,0,0,none,0,0,1,,默认零
scuttle_crab,normal_max_health,1550,218.823529,linear,1550,218.823529,1,health_normal,普通形态1到18级线性插值
scuttle_crab,out_of_combat_move_speed,1.55,0,none,155,0,0.01,move_speed_out_of_combat,脱战基础移速降低100
scuttle_crab,dash_move_speed,7.5,0,none,7.5,0,1,,横版动作归航冲刺速度
scuttle_crab,navigation_leash_radius,2.0,0,none,2.0,0,1,,离开固定路径后归航的项目规则
training_dummy,health_regen_per_5,0,0,none,0,0,1,,训练用
training_dummy,max_resource,0,0,none,0,0,1,,无资源
training_dummy,resource_regen_per_5,0,0,none,0,0,1,,无资源
training_dummy,attack_damage,0,0,none,0,0,1,,不攻击
training_dummy,ability_power,0,0,none,0,0,1,,不攻击
training_dummy,armor,0,0,none,0,0,1,,保持伤害测试直观
training_dummy,magic_resistance,0,0,none,0,0,1,,保持伤害测试直观
training_dummy,move_speed,3.70,0,none,370,0,0.01,move_speed,仅用于受强制位移后归位
training_dummy,acceleration,8,0,none,8,0,1,,归位加速度
training_dummy,attack_range,1.75,0,none,175,0,0.01,attack_range,保留英雄单位属性但默认不攻击
training_dummy,attack_speed,0.66,0,none,0.66,0,1,,保留英雄单位属性但默认不攻击
training_dummy,attack_speed_ratio,1,0,none,1,0,1,,占位
training_dummy,critical_chance,0,0,none,0,0,1,,不攻击
training_dummy,critical_damage,1.75,0,none,1.75,0,1,,占位
training_dummy,ability_haste,0,0,none,0,0,1,,默认零属性
training_dummy,tenacity,0,0,none,0,0,1,,默认零属性
training_dummy,attack_windup,0.3,0,none,0.3,0,1,,占位
training_dummy,attack_windup_modifier,1,0,none,1,0,1,,占位
training_dummy,attack_delay_offset,0,0,none,0,0,1,,占位
training_dummy,acquisition_radius,0,0,none,0,0,1,,不索敌
training_dummy,selection_radius,0.65,0,none,65,0,0.01,gameplay_radius,训练假人选取范围
training_dummy,selection_height,2.5,0,none,2.5,0,1,,训练假人选取高度
training_dummy,gameplay_radius,0.65,0,none,65,0,0.01,gameplay_radius,训练假人玩法半径
training_dummy,pathing_radius,0.30,0,none,30,0,0.01,pathing_radius,训练假人寻路半径
training_dummy,depth_radius,0.65,0,none,0.65,0,1,,横版纵深
training_dummy,poise,9999,0,none,9999,0,1,,木桩霸体
training_dummy,poise_regen,9999,0,none,9999,0,1,,木桩霸体
training_dummy,knockback_resistance,0,0,none,0,0,1,,保留击退反馈
